Impact	NEUTRAL	You point to a meaningful connection between your Personal/Academic/Career interests and a specific instance at the university that will help you grow this interest	You point to a meaningful connection between your Personal/Academic/Career interests and a specific instance at the university that will help you grow this interest	Rubric	469
Impact	NEUTRAL	Your reasons and evidence could not apply to one of your peers	Your reasons and evidence could not apply to one of your peers	Rubric	469
Impact	NEUTRAL	You build upon one of the instances at the university in a way that the admission officers might not have heard before	You build upon one of the instances at the university in a way that the admission officers might not have heard before	Rubric	469
Content	NEUTRAL	Specific instances from the university that do not apply to other universities (including professors, programs, courses, research, internships)	Specific instances from the university that do not apply to other universities (including professors, programs, courses, research, internships)	Rubric	469
Content	NEUTRAL	Quotes used as appropriate	Quotes used as appropriate	Rubric	469
Content	NEUTRAL	Content is unique to the university and you (not just one or the other)	Content is unique to the university and you (not just one or the other)	Rubric	469
Quality	NEUTRAL	Employs a variety of sentences and language usage	Employs a variety of sentences and language usage	Rubric	469
Quality	NEUTRAL	Uses language and writing ability in line with grades, academic strengths, and test scores.	Uses language and writing ability in line with grades, academic strengths, and test scores.	Rubric	469
Quality	NEUTRAL	Effectively uses style that matches with the content and impact of the story	Effectively uses style that matches with the content and impact of the story	Rubric	469
Quality	NEUTRAL	"Voice sounds like the student is ""reading the essay aloud"""	"Voice sounds like the student is ""reading the essay aloud"""	Rubric	469
Quality	NEUTRAL	Language shows, not tells	Language shows, not tells	Rubric	469
Quality	NEUTRAL	Narrative is clear and easy to follow	Narrative is clear and easy to follow	Rubric	469
Quality	NEUTRAL	Story builds and flows smoothly	Story builds and flows smoothly	Rubric	469
Impact	NEUTRAL	You point to a meaningful connection between this challenge and your life experiences/beliefs	You point to a meaningful connection between this challenge and your life experiences/beliefs	Rubric	441
Impact	NEUTRAL	You describe how you have learned/grown from this challenge	You describe how you have learned/grown from this challenge	Rubric	441
Impact	NEUTRAL	Your experience with this challenge (and reasons and evidence) could not apply to one of your peers	Your experience with this challenge (and reasons and evidence) could not apply to one of your peers	Rubric	441
Impact	NEUTRAL	You use this challenge as a way for the reader to learn something about you	You use this challenge as a way for the reader to learn something about you	Rubric	441
Impact	NEUTRAL	If you write about a negative experience, you do so in a way that allows the reader to still feel positively about you	If you write about a negative experience, you do so in a way that allows the reader to still feel positively about you	Rubric	441
Impact	NEUTRAL	You show how this challenge has positively influenced you/your beliefs/your ideas/your motivation	You show how this challenge has positively influenced you/your beliefs/your ideas/your motivation	Rubric	441
Content	NEUTRAL	You are able to write about your experience with a challenge in way that is unique to you and would not apply to your peers	You are able to write about your experience with a challenge in way that is unique to you and would not apply to your peers	Rubric	441
Content	NEUTRAL	You have a unique conclusion and/or takeaway	You have a unique conclusion and/or takeaway	Rubric	441
Content	NEUTRAL	You are able to combine factual events with your thoughts, feelings, and beliefs	You are able to combine factual events with your thoughts, feelings, and beliefs	Rubric	441
Quality	NEUTRAL	Employs a variety of sentences and language usage	Employs a variety of sentences and language usage	Rubric	441
Quality	NEUTRAL	Uses language and writing ability in line with grades, academic strengths, and test scores	Uses language and writing ability in line with grades, academic strengths, and test scores	Rubric	441
Quality	NEUTRAL	Effectively uses style that matches with the content and impact of the story	Effectively uses style that matches with the content and impact of the story	Rubric	441
Quality	NEUTRAL	"Voice sounds like the student is ""reading the essay aloud"""	"Voice sounds like the student is ""reading the essay aloud"""	Rubric	441
Quality	NEUTRAL	Language shows, not tells	Language shows, not tells	Rubric	441
Quality	NEUTRAL	Narrative is clear and easy to follow	Narrative is clear and easy to follow	Rubric	441
Quality	NEUTRAL	Story builds and flows smoothly	Story builds and flows smoothly	Rubric	441
Impact	NEUTRAL	You point to a meaningful connection between this ethical dilemma and your life experiences/beliefs	You point to a meaningful connection between this ethical dilemma and your life experiences/beliefs	Rubric	442
Impact	NEUTRAL	You describe how you have learned/grown from this challenge	You describe how you have learned/grown from this challenge	Rubric	442
Impact	NEUTRAL	Your experiences and beliefs (and reasons and evidence) could not apply to one of your peers	Your experiences and beliefs (and reasons and evidence) could not apply to one of your peers	Rubric	442
Impact	NEUTRAL	You use this ethical dilemma as a way for the reader to learn something about your personality, your beliefs, and your reaction to challenge	You use this ethical dilemma as a way for the reader to learn something about your personality, your beliefs, and your reaction to challenge	Rubric	442
Impact	NEUTRAL	If you write about a negative experience, you do so in a way that allows the reader to still feel positively about you	If you write about a negative experience, you do so in a way that allows the reader to still feel positively about you	Rubric	442
Impact	NEUTRAL	You show how this ethical dilemma has influenced your beliefs	You show how this ethical dilemma has influenced your beliefs	Rubric	442
Impact	NEUTRAL	You are able to get the reader to understand why these beliefs are meaningful to you	You are able to get the reader to understand why these beliefs are meaningful to you	Rubric	442
Content	NEUTRAL	You are able to write about your ethical dilemma in way that is unique to you and would not apply to your peers	You are able to write about your ethical dilemma in way that is unique to you and would not apply to your peers	Rubric	442
Content	NEUTRAL	You are able to combine factual events with your thoughts, feelings, and beliefs	You are able to combine factual events with your thoughts, feelings, and beliefs	Rubric	442
Content	NEUTRAL	You use specific details to show how this ethical dilemma challenged your beliefs	You use specific details to show how this ethical dilemma challenged your beliefs	Rubric	442
Content	NEUTRAL	You are able to articulate your beliefs and also why you believe in them	You are able to articulate your beliefs and also why you believe in them	Rubric	442
Quality	NEUTRAL	Employs a variety of sentences and language usage	Employs a variety of sentences and language usage	Rubric	442
Quality	NEUTRAL	Uses language and writing ability in line with grades, academic strengths, and test scores	Uses language and writing ability in line with grades, academic strengths, and test scores	Rubric	442
Quality	NEUTRAL	Effectively uses style that matches with the content and impact of the story	Effectively uses style that matches with the content and impact of the story	Rubric	442
Quality	NEUTRAL	"Voice sounds like the student is ""reading the essay aloud"""	"Voice sounds like the student is ""reading the essay aloud"""	Rubric	442
Quality	NEUTRAL	Language shows, not tells	Language shows, not tells	Rubric	442
Quality	NEUTRAL	Narrative is clear and easy to follow	Narrative is clear and easy to follow	Rubric	442
Quality	NEUTRAL	Story builds and flows smoothly	Story builds and flows smoothly	Rubric	442
Impact	NEUTRAL	You point to a meaningful connection between this challenge and your life experiences/beliefs	You point to a meaningful connection between this challenge and your life experiences/beliefs	Rubric	443
Impact	NEUTRAL	Your experience with this challenge (and reasons and evidence) could not apply to one of your peers	Your experience with this challenge (and reasons and evidence) could not apply to one of your peers	Rubric	443
Impact	NEUTRAL	You use this challenge as a way for the reader to learn something about you	You use this challenge as a way for the reader to learn something about you	Rubric	443
Impact	NEUTRAL	You write about your failure in a way that still allows the reader to still feel positively about you	You write about your failure in a way that still allows the reader to still feel positively about you	Rubric	443
Impact	NEUTRAL	You show how this failure has influenced you/your beliefs/your ideas/your motivation	You show how this failure has influenced you/your beliefs/your ideas/your motivation	Rubric	443
Impact	NEUTRAL	You use this experience of failure to show what you have learned about the world or yourself	You use this experience of failure to show what you have learned about the world or yourself	Rubric	443
Content	NEUTRAL	You are able to write about your experience with a challenge in way that is unique to you and would not apply to your peers	You are able to write about your experience with a challenge in way that is unique to you and would not apply to your peers	Rubric	443
Content	NEUTRAL	You have a unique conclusion and/or takeaway	You have a unique conclusion and/or takeaway	Rubric	443
Content	NEUTRAL	You are able to combine factual events with your thoughts, feelings, and beliefs	You are able to combine factual events with your thoughts, feelings, and beliefs	Rubric	443
Content	NEUTRAL	You describe a time when you failed at something and use specific details and emotions to show its meaning	You describe a time when you failed at something and use specific details and emotions to show its meaning	Rubric	443
Quality	NEUTRAL	Uses language and writing ability in line with grades, academic strengths, and test scores	Uses language and writing ability in line with grades, academic strengths, and test scores	Rubric	443
Quality	NEUTRAL	Effectively uses style that matches with the content and impact of the story	Effectively uses style that matches with the content and impact of the story	Rubric	443
Quality	NEUTRAL	"Voice sounds like the student is ""reading the essay aloud"""	"Voice sounds like the student is ""reading the essay aloud"""	Rubric	443
Quality	NEUTRAL	Language shows, not tells	Language shows, not tells	Rubric	443
Quality	NEUTRAL	Narrative is clear and easy to follow	Narrative is clear and easy to follow	Rubric	443
Quality	NEUTRAL	Story builds and flows smoothly	Story builds and flows smoothly	Rubric	443
Impact	NEUTRAL	You point to a meaningful connection between this challenge and your life experiences/beliefs	You point to a meaningful connection between this challenge and your life experiences/beliefs	Rubric	444
Impact	NEUTRAL	You describe how you have learned/grown from this challenge	You describe how you have learned/grown from this challenge	Rubric	444
Impact	NEUTRAL	Your experience with this challenge (and reasons and evidence) could not apply to one of your peers	Your experience with this challenge (and reasons and evidence) could not apply to one of your peers	Rubric	444
Impact	NEUTRAL	You use this challenge as a way for the reader to learn something about you	You use this challenge as a way for the reader to learn something about you	Rubric	444
Impact	NEUTRAL	If you write about a negative experience, you do so in a way that allows the reader to still feel positively about you	If you write about a negative experience, you do so in a way that allows the reader to still feel positively about you	Rubric	444
Impact	NEUTRAL	You show how this challenge has positively influenced you/your beliefs/your ideas/your motivation	You show how this challenge has positively influenced you/your beliefs/your ideas/your motivation	Rubric	444
Content	NEUTRAL	You are able to write about your experience with a challenge in way that is unique to you and would not apply to your peers	You are able to write about your experience with a challenge in way that is unique to you and would not apply to your peers	Rubric	444
Content	NEUTRAL	You have a unique conclusion and/or takeaway	You have a unique conclusion and/or takeaway	Rubric	444
Content	NEUTRAL	You are able to combine factual events with your thoughts, feelings, and beliefs	You are able to combine factual events with your thoughts, feelings, and beliefs	Rubric	444
Content	NEUTRAL	You use specific details to describe how this event was a risk	You use specific details to describe how this event was a risk	Rubric	444
Quality	NEUTRAL	Employs a variety of sentences and language usage	Employs a variety of sentences and language usage	Rubric	444
Quality	NEUTRAL	Uses language and writing ability in line with grades, academic strengths, and test scores	Uses language and writing ability in line with grades, academic strengths, and test scores	Rubric	444
Quality	NEUTRAL	Effectively uses style that matches with the content and impact of the story	Effectively uses style that matches with the content and impact of the story	Rubric	444
Quality	NEUTRAL	"Voice sounds like the student is ""reading the essay aloud"""	"Voice sounds like the student is ""reading the essay aloud"""	Rubric	444
Quality	NEUTRAL	Language shows, not tells	Language shows, not tells	Rubric	444
Quality	NEUTRAL	Narrative is clear and easy to follow	Narrative is clear and easy to follow	Rubric	444
Quality	NEUTRAL	Story builds and flows smoothly	Story builds and flows smoothly	Rubric	444
Impact	NEUTRAL	You point to a meaningful connection between your academic interests and your experiences	You point to a meaningful connection between your academic interests and your experiences	Rubric	445
Impact	NEUTRAL	You are able to articulate your interests and also why they are meaningful for you	You are able to articulate your interests and also why they are meaningful for you	Rubric	445
Impact	NEUTRAL	Your reasons and evidence could not apply to one of your peers	Your reasons and evidence could not apply to one of your peers	Rubric	445
